"Documento","Estado","Evento","Municipios","Solicitud.de.Declaratoria","Fecha.publicacion.DOF","Acuerdo.Comite.Tecnico","Sectores.Afectados","Competencia","Apoyos.Parciales.Inmdiatos","Gastos.de.Evaluacion","Anticipos","Acciones.de.Restauracion","Aportacion.FONDEN","Aportacion.Estatal","Aportacion.Dependencia.Federal","Recursos.Fondo.Guerrero","Aportacion.Total"
2013,"Chiapas","Movimiento de Ladera del 12 al 14 de septiembre de 2013",1,"18/09/13","27/09/13","SE.154.01 31-oct-13","Hidraulico","Estatal",0,NA,NA,2,958224.72,2067082.56,0,NA,3025307.28
2013,"Chiapas","Movimiento de Ladera del 12 al 14 de septiembre de 2014",1,"18/09/13","27/09/13","SE.154.01 31-oct-14","Vivienda","",0,NA,NA,379,50881824,51151040,0,NA,102032864
2013,"Chiapas","Lluvia severa los dias 12 al 15 de septiembre 2013",3,"18/09/13","27/09/13","SE.156.01 22-nov-13","Carretero","Estatal",0,NA,NA,28,51595595.14,110062118.4,0,NA,161657713.54
2013,"Chiapas","Lluvia severa los dias 12 al 15 de septiembre 2013",3,"18/09/13","27/09/13","SE.157.01 02-Dic-13","Carretero","Federal",0,NA,NA,11,86196383.2,0,0,NA,86196383.2
2013,"Chiapas","Lluvia severa los dias 12 al 15 de septiembre 2013",3,"18/09/13","27/09/13","SE. 154.02 31-oct-13","Hidraulico","Estatal",0,NA,NA,7,2019721.6,2768563.2,0,NA,4788284.8
2013,"Chiapas","Lluvia severa los dias 12 al 15 de septiembre 2013",3,"18/09/13","27/09/13","SE.156.01 22-nov-14","Hidraulico","Federal",0,NA,NA,10,60865964.44,0,0,NA,60865964.44
2013,"Chiapas","Lluvia severa los dias 12 al 15 de septiembre 2013",3,"18/09/13","27/09/13","SE. 154.02 31-oct-14","Vivienda","",0,NA,NA,12,378707.2,389460.8,0,NA,768168
2013,"Chihuahua","Lluvia Severa del 19 al 21 de septiembre",1,"23/09/13","26/09/13","SE.157.02 02-Dic-13","Hidraulico","Estatal",0,NA,NA,15,19365647.82,21486516.24,0,NA,40852164.06
2013,"Chihuahua","Lluvia Severa del 19 al 21 de septiembre",1,"23/09/13","26/09/13","SE.159.01 20-Dic-13","Hidraulico","Federal",0,NA,NA,1,31674240,0,0,NA,31674240
2013,"Chihuahua","Lluvia Severa del 19 al 21 de septiembre",1,"23/09/13","26/09/13","SE.155.02 06-11-13","Monumentos Arqueologicos, Artisticos e Historico","",0,NA,NA,1,782080,0,0,NA,782080
2013,"Chihuahua","Lluvia Severa del 19 al 21 de septiembre",1,"23/09/13","26/09/13","SE.154.03 31-oct-13","Vivienda","",0,68620,NA,45,592190.6,564075.2,0,NA,1156265.8
2013,"Chihuahua","Lluvia severa del 9 al 13 de septiembre 2013",2,"13/09/13","23/09/13","SE.156.02 22-nov-13","Hidraulico","Estatal",0,NA,NA,13,145897525.96,166804719.26,0,NA,312702245.22
2013,"Chihuahua","Lluvia severa del 9 al 13 de septiembre 2013",2,"13/09/13","23/09/13","SO.50.17 08-11-13","Hidraulico","Federal",0,NA,NA,17,96200728,0,0,NA,96200728
2013,"Chihuahua","Lluvia severa del 9 al 13 de septiembre 2013",2,"13/09/13","23/09/13","SE.154.04 31-oct-13","Vivienda","",0,122331.6,NA,116,1433782,1423385.6,0,NA,2857167.6
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.154.05 31-oct-13","Carretero","Estatal",1362379.6,NA,NA,13,6367877.72,11573528.16,0,NA,17941405.88
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.153.02 15-oct-2013","Carretero","Federal",0,NA,NA,4,10506267.2,0,0,NA,10506267.2
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.153.02 15-oct-2013","Deportivo","Estatal",0,NA,NA,5,525439.32,996094.5,0,NA,1521533.82
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.153.02 15-oct-2013","Hidraulico","Estatal",720980,NA,NA,16,2083038.12,2473002.76,0,NA,4556040.88
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.153.02 15-oct-2013","Hidraulico","Federal",0,NA,NA,12,135882489.6,0,0,NA,135882489.6
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.153.02 15-oct-2013","Residuos Solidos","Estatal",0,NA,NA,2,904280,2712840,0,NA,3617120
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.153.02 15-oct-2013","Salud","Estatal",0,NA,NA,34,1469332.8,1889505.28,0,NA,3358838.08
2013,"Colima","Tormenta tropical Manuel (Lluvia severa) del 16 y 17 de septiembre",10,"19/09/13","02/10/13","SE.154.05 31-oct-13","Vivienda","",0,NA,NA,30,678040.8,862393.6,0,NA,1540434.4
2013,"Durango","Inundacion fluvial y pluvial (lluvia severa) del 15 al 19 de septiembre 2013",11,"20/09/13","02/10/13","SE.155.03 06-11-13","Carretero","Estatal",0,NA,NA,135,627560669.96,1106002368.16,0,NA,1733563038.12
2013,"Durango","Inundacion fluvial y pluvial (lluvia severa) del 15 al 19 de septiembre 2013",11,"20/09/13","02/10/13","SE.155.03 06-11-13","Carretero","Federal",0,NA,NA,13,187796960,0,0,NA,187796960
2013,"Durango","Inundacion fluvial y pluvial (lluvia severa) del 15 al 19 de septiembre 2013",11,"20/09/13","02/10/13","SE.155.03 06-11-13","Hidraulico","Estatal",0,NA,NA,34,24730249.44,25958212.8,0,NA,50688462.24
2013,"Durango","Inundacion fluvial y pluvial (lluvia severa) del 15 al 19 de septiembre 2013",11,"20/09/13","02/10/13","SE.155.03 06-11-13","Hidraulico","Federal",0,NA,NA,26,7294851.2,0,0,NA,7294851.2
2013,"Durango","Inundacion fluvial y pluvial (lluvia severa) del 15 al 19 de septiembre 2013",11,"20/09/13","02/10/13","SE.155.03 06-11-13","Urbano","",0,NA,NA,5,23536863.04,33246588.34,0,NA,56783451.38
2013,"Durango","Inundacion fluvial y pluvial (lluvia severa) del 15 al 19 de septiembre 2013",11,"20/09/13","02/10/13","SE.155.03 06-11-13","Vivienda","",0,NA,NA,62,1115216,1245011.2,0,NA,2360227.2
2013,"Guanajuato","Lluvia severa el dia 21 de septiembre 2013",1,"23/09/13","03/10/13","SE.155.04 06-11-13","Carretero","Estatal",0,NA,NA,12,8901735.14,20297860.86,0,NA,29199596
2013,"Guanajuato","Lluvia severa el dia 21 de septiembre 2013",1,"23/09/13","03/10/13","SE.159.03 20-Dic-13","Cultura","Estatal",0,NA,NA,2,147627,150978.1,0,NA,298605.1
2013,"Guanajuato","Lluvia severa el dia 21 de septiembre 2013",1,"23/09/13","03/10/13","SE.155.04 06-11-14","Hidraulico","Estatal",0,NA,NA,5,4814450.64,6152294.36,0,NA,10966745
2013,"Guanajuato","Lluvia severa el dia 21 de septiembre 2013",1,"23/09/13","03/10/13","SE.159.03 20-Dic-13","Hidraulico","Federal",0,NA,NA,3,36364915.2,0,0,NA,36364915.2
2013,"Guanajuato","Lluvia severa el dia 21 de septiembre 2013",1,"23/09/13","03/10/13","SE.155.04 06-11-15","Urbano","",0,NA,NA,9,1198500,8188152,0,NA,9386652
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE.156.04 22-nov-13","Carretero","Estatal",125292600,NA,NA,342,934957804.28,939171227.38,0,NA,1874129031.66
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE.156.08 22-nov-13","Carretero","Federal",17390000,NA,NA,18,106185408,0,0,NA,106185408
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE.158.02 10-Dic-13","Forestal y de Viveros","Federal",0,NA,NA,8,34408967.9,0,0,NA,34408967.9
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE. 155.07 06-11-13","Hidraulico","Estatal",0,NA,NA,34,21065324.8,21065324.8,0,NA,42130649.6
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SO.50.18 08-11-13","Hidraulico","Federal",0,NA,NA,19,0,0,263901903.64,NA,263901903.64
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE. 155.07 06-11-13","Salud","Estatal",0,NA,NA,4,1476176,1476176,0,NA,2952352
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE. 155.07 06-11-13","Urbano","",12643000,NA,NA,16,17907376.94,18935270.7,0,NA,36842647.64
2013,"Guerrero","Lluvia severa del 15 y 16 de septiembre 2013",25,"19/09/13","30/09/13","SE. 155.07 06-11-13","Vivienda","",0,NA,NA,2824,131818456,133740944,0,NA,265559400
